date,GLD,SPY,USO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-03,0.013268521727000326,-0.0075723195574619595,0.02888367474153064,-0.016145316790384556,-0.0064503860801977675,-0.0029711191318168018,-0.010617835360328454,-0.001927957324962204,-0.01124326729022318,-0.0016008095534870703,0.007326007773536425,0.002037189067068512,-0.008714339783357117,-0.008509967723561829
2020-01-06,0.010489502076611812,0.0038147386644231673,-0.0015174853794059917,-0.004353548239525495,0.013355766619159715,0.007781293744449247,-0.0006505372830160061,0.0003620127788785954,0.002382825215929696,0.002084274408072906,0.0002596146568938362,0.0009384015219966457,0.00622281736792063,0.0027812788712551217
2020-01-07,0.003935150508558971,-0.002811567651423652,-0.002279614993847545,-0.0011770699360025283,0.0012813986502147046,-0.002628564950335477,-0.006507802433965648,-0.0020505281861692426,-0.00043254243042489815,-0.007678939064269752,-0.010906320773391487,-0.0014061747732087015,-0.001963432392095621,-0.00158471231290791
2020-01-08,-0.007501524641443713,0.005329622300374703,-0.03579590730634363,0.003535878767715994,0.007129662371545775,-0.01647148412968491,0.006550431347029262,0.003384943519247896,0.010700680741665636,0.0037081691701572606,0.0049882265251499636,-0.00046931295909313775,0.006491693280247013,0.0030163445043869253
2020-01-09,-0.005651653463197515,0.006780676324733781,-0.013428126251414874,0.003691054350473566,0.0052642200958559204,0.007368756121731712,0.006183155196237244,0.004217639557734687,0.011335616847285124,0.0070671715710262095,-0.0002612897099062428,0.005479233379885651,0.004299690312539628,0.005302010364135468
2020-01-10,0.006026192495848015,-0.0028778244393533603,-0.0064051181082522834,-0.004011875520129826,-0.0039726082980194866,-0.005652551182042886,-0.007438389708691262,-0.007079503240873364,-0.0023264669614765365,-0.0006382339288922845,0.00966835475627037,0.002646452400431043,0.00029227928680586324,-0.005431673128187042
2020-01-13,-0.007419483430124996,0.0068773475944927664,-0.016921840509995234,0.012923714234994277,0.009427039066850273,0.00033438351726733373,0.006842533645742055,0.0082174318910615,0.01250660045747276,0.006543452464569555,0.012163661079142463,0.0060559333527214765,-0.003502074143155398,0.0031660460914568755
2020-01-14,-0.0008915435213457945,-0.0015246530942009118,0.00655737089809616,-0.004142550017725344,-0.0025142512221761892,0.0001671769465700912,-0.0019417923524327474,0.00011996630065036484,-0.004710445664263374,0.0003169257647668289,-0.004858309842826425,0.0029325361149610263,0.006052181642919319,-0.00031559271353454044
2020-01-15,0.005834242779070742,0.002260062372920979,-0.008143276056180704,0.006822191724302984,0.004861514616234075,-0.007352831257701364,-0.005512529740804517,0.0015579648219621323,0.001157205286291596,0.007132717779503084,0.006936952896184012,0.014004337255577815,0.008635784697513804,-0.00228876949210044
2020-01-16,-0.0015695082440052577,0.00831806649704192,0.00903117027267264,0.005949190192177101,0.007704627208142023,0.0016832920336671275,0.008803422281630002,0.009931974102534324,0.013446529662686224,0.0026754564599871244,0.008931003396533743,0.006222507475382555,0.005194835443635748,0.008939148713680956
2020-01-17,0.0018454259925253513,0.003112512788494559,0.0032546755066871214,0.004435717226829672,0.00782364922203671,-0.00638647104354273,0.0029088891028092867,0.00011828880310837953,0.006737937465698396,0.0017265996741686607,0.0012648168690432282,0.006938134670871454,0.0,0.0035283364562399555
2020-01-21,0.0010915790702048511,-0.0019579449162957507,-0.007299282493493875,-0.01079481649896663,-0.0008820991835716274,-0.01792958227270769,-0.008378678679917595,-0.011017577548652957,-0.00041198551127763494,0.0034473174153129005,0.010103276125193794,0.00913720041307653,0.001052681800214561,-0.003047039854372713
2020-01-22,0.0003406555206315609,0.00012072683788777461,-0.027777790763539367,-0.003968237014757792,-0.0005297553284016043,-0.009645196288442848,0.0029247512893597616,-0.005270623679563102,0.003605469477255374,0.0007805578516220102,-0.008001870154570323,0.0031171522195672097,0.0012427775559982202,-0.00047032431102078665
2020-01-23,0.002248122121045526,0.0011467162595399927,-0.020168048639635727,-0.0011621863716009262,-0.0040638482521516694,-0.0038259868783497852,-0.0025923202995078443,0.010838160087323745,0.004720985704878444,-0.0009359946977981481,0.009579105099541296,0.008878434734979512,-0.005060623287311716,0.0014897882406166296
2020-01-24,0.005845572586286041,-0.008892859609697656,-0.019725518460223412,-0.0071462041350747185,-0.01206291203203258,-0.011522558671664407,-0.012670615160736642,-0.00464655375924139,-0.004698802724386497,-0.006871812116588605,-0.0014983358107388822,0.00263999605839782,-0.016698494761071325,-0.013935715029055662
2020-01-27,0.006825312844883635,-0.01602970550669569,-0.028871383630376668,-0.021593640685036775,-0.015622435056259598,-0.02772847308843618,-0.01546556191848203,-0.018910657000265285,-0.02381195603233721,-0.0031453110051279376,-0.00425081836777641,-0.0024866336708643244,-0.007612898112258293,-0.014926530503446278
2020-01-28,-0.008926785569624784,0.01047935414359391,0.013513478682458668,0.0112916909649452,0.011492175916260061,0.004541340582954856,0.011697857602131378,0.0064656186580862585,0.01913562249767997,0.001262362202768763,0.0025111420642212057,0.004106020284799783,0.0049175883527619035,0.009752318253604342
2020-01-29,0.005417872354848807,-0.0008262309899378373,-0.008000013563368102,0.0032142899554876703,-0.0016228679632264154,-0.01048832552178769,-0.0016518503388067707,0.0053334373692652814,0.0025789416021675393,-0.005041814162363378,-0.005260376408584455,0.0026288146038833116,-0.002740235227794874,-0.0005586595044048126
2020-01-30,6.732120695107646e-05,0.0032456637730107207,-0.007168452042999429,-0.006239573356944028,-0.010115865298660265,0.008040904418509243,0.012574580158977167,0.0010853661996377273,0.00864371127827046,0.011876423659752833,0.0022664529799198974,0.009322553389444987,-0.007262197197042353,-0.0016771077771230436
