date,GLD,SPY,USO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-02-21,154.6999969482422,305.58880615234375,89.27999877929688,26.724838256835938,52.97064208984375,21.009580612182617,27.5079288482666,75.88826751708984,47.2223014831543,55.138954162597656,34.253910064697266,29.15102195739746,93.86536407470703,61.886131286621094
2020-02-24,156.08999633789062,295.4538879394531,85.91999816894531,25.97189712524414,51.196144104003906,20.039426803588867,26.613948822021484,73.72754669189453,45.270530700683594,53.86815643310547,33.79642868041992,28.811138153076172,90.90679931640625,59.75832748413086
2020-02-25,153.3000030517578,286.50103759765625,83.19999694824219,24.851348876953125,49.827518463134766,19.15465545654297,25.711023330688477,70.72251892089844,43.8221435546875,52.895870208740234,32.94682312011719,28.205984115600586,88.14793395996094,58.162506103515625
2020-02-26,153.97000122070312,285.4471435546875,81.5199966430664,24.767200469970703,49.73312759399414,18.576444625854492,25.523283004760742,70.18687438964844,44.02159118652344,52.59736251831055,32.66090393066406,27.919984817504883,88.13886260986328,57.70180892944336
2020-02-27,154.0,272.62725830078125,78.23999786376953,23.606786727905273,47.76984405517578,17.583003997802734,24.4326229095459,67.58130645751953,41.64717102050781,50.45662307739258,30.81463050842285,26.664087295532227,85.14403533935547,55.369773864746094
2020-02-28,148.3800048828125,271.48175048828125,75.5999984741211,23.349905014038086,47.91143798828125,17.567487716674805,23.771072387695312,66.34662628173828,41.96535110473633,49.45874786376953,30.054880142211914,25.772932052612305,84.04592895507812,55.01357650756836
2020-03-02,149.1999969482422,283.2387390136719,79.36000061035156,24.350872039794922,49.57266616821289,18.277633666992188,24.986894607543945,68.67984771728516,44.391998291015625,52.102691650390625,31.549867630004883,27.289955139160156,87.98456573486328,56.90387725830078
2020-03-03,153.88999938964844,275.1289367675781,79.12000274658203,24.138273239135742,47.93975067138672,17.718828201293945,24.048208236694336,67.00028991699219,42.70615768432617,51.39480209350586,31.52536964416504,26.954225540161133,85.79747009277344,55.52651596069336
2020-03-04,154.16000366210938,286.6934814453125,78.87999725341797,25.139238357543945,49.66706848144531,18.137928009033203,24.843856811523438,69.7692642211914,44.53921890258789,53.919334411621094,32.750762939453125,28.483686447143555,90.74345397949219,57.445316314697266
2020-03-05,157.49000549316406,277.163330078125,76.87999725341797,24.342008590698242,47.85480880737305,17.474349975585938,23.645917892456055,66.35569763183594,43.1335563659668,52.9044075012207,31.99917221069336,28.044336318969727,88.63800048828125,55.30329132080078
2020-03-06,157.5500030517578,272.5815124511719,69.83999633789062,23.708656311035156,47.02418518066406,16.49256134033203,22.841325759887695,65.77467346191406,42.2217903137207,52.48649597167969,31.451839447021484,27.81635856628418,88.16609191894531,54.453128814697266
2020-03-09,157.80999755859375,251.2943115234375,52.15999984741211,21.489709854125977,43.890499114990234,13.170763969421387,20.391807556152344,59.71013641357422,39.01633071899414,50.20075607299805,29.229780197143555,26.303476333618164,83.58308410644531,51.02398681640625
2020-03-10,154.47999572753906,264.29754638671875,57.91999816894531,22.36223030090332,46.12749481201172,13.795538902282715,21.589750289916992,62.80595779418945,41.618682861328125,51.64213180541992,30.6512508392334,26.548025131225586,86.45086669921875,53.84518814086914
2020-03-11,153.92999267578125,251.41351318359375,55.52000045776367,21.299257278442383,44.145355224609375,13.065988540649414,20.418630599975586,59.120052337646484,39.65266799926758,49.10906982421875,29.009214401245117,25.2133731842041,83.1474838256836,50.900482177734375
2020-03-12,147.7899932861328,227.3589324951172,52.31999969482422,19.24861717224121,40.001705169677734,11.436134338378906,18.210481643676758,53.001041412353516,35.782379150390625,44.49496841430664,26.517574310302734,22.66840934753418,76.93999481201172,45.75677490234375
2020-03-13,143.27999877929688,246.79498291015625,55.68000030517578,20.599470138549805,43.597900390625,12.491659164428711,20.606361389160156,57.14089584350586,39.980342864990234,48.281768798828125,28.8458309173584,23.90358543395996,82.2762451171875,48.58749008178711
2020-03-16,141.63999938964844,219.789794921875,48.400001525878906,18.331802368164062,38.68027114868164,10.791953086853027,17.781370162963867,50.65875244140625,34.457454681396484,45.00669860839844,24.230165481567383,21.18868064880371,74.16297149658203,42.4321174621582
2020-03-17,143.55999755859375,231.65667724609375,45.68000030517578,19.46563720703125,40.36037826538086,10.86568546295166,18.74687957763672,52.9919548034668,36.803375244140625,48.802032470703125,25.70064353942871,23.89944076538086,78.81856536865234,44.065948486328125
2020-03-18,140.6999969482422,219.92723083496094,37.68000030517578,18.221073150634766,39.02006530761719,9.305683135986328,17.155582427978516,49.08815002441406,35.41672134399414,47.54829788208008,23.89522933959961,22.859073638916016,76.20488739013672,41.534454345703125
2020-03-19,138.0399932861328,220.39459228515625,42.959999084472656,18.686120986938477,39.718544006347656,9.93822193145752,17.531051635742188,49.124473571777344,35.5449333190918,45.96192169189453,23.519433975219727,21.528562545776367,74.64396667480469,42.983070373535156
2020-03-20,140.11000061035156,210.8968505859375,39.52000045776367,18.017337799072266,37.96290969848633,10.035237312316895,16.905261993408203,46.664154052734375,33.91608810424805,42.9853630065918,22.18783950805664,19.82086944580078,71.77618408203125,41.705448150634766
2020-03-23,146.3000030517578,205.5045623779297,39.040000915527344,17.09886360168457,38.16453170776367,9.351249694824219,15.921655654907227,44.6202507019043,33.60627746582031,41.71329116821289,20.95490837097168,18.809431076049805,68.0482177734375,41.774166107177734
2020-03-24,153.39999389648438,224.12400817871094,39.84000015258789,19.109708786010742,40.511959075927734,10.850940704345703,17.896087646484375,50.26524353027344,37.048057556152344,43.840553283691406,22.782085418701172,20.831466674804688,73.29181671142578,45.69243621826172
2020-03-25,151.3000030517578,227.47915649414062,40.63999938964844,19.555564880371094,39.88724899291992,11.362740516662598,18.382932662963867,52.90934753417969,37.00031661987305,43.7204704284668,23.7944393157959,21.363130569458008,74.26757049560547,46.49421691894531
2020-03-26,153.24000549316406,240.76165771484375,38.63999938964844,20.47404670715332,42.15894317626953,12.05704116821289,19.536937713623047,56.248779296875,39.29167175292969,46.1136360168457,25.621620178222656,23.1842098236084,79.20111083984375,48.41755676269531
2020-03-27,152.25,233.59034729003906,35.7599983215332,19.73391342163086,40.474090576171875,11.239749908447266,18.9419002532959,53.879150390625,37.515872955322266,45.899200439453125,25.68745994567871,23.309799194335938,77.50491333007812,46.794898986816406
2020-03-30,152.9199981689453,241.1763916015625,33.84000015258789,20.362581253051758,41.95069885253906,11.35480785369873,19.302528381347656,54.66598129272461,39.09593963623047,47.69192886352539,26.354135513305664,24.172204971313477,81.13441467285156,47.77328109741211
2020-03-31,148.0500030517578,237.58154296875,33.68000030517578,20.081684112548828,41.87497329711914,11.529374122619629,18.77060890197754,53.98893737792969,38.36558532714844,46.72264862060547,25.51462173461914,23.196775436401367,80.77874755859375,46.809226989746094
2020-04-01,149.4499969482422,226.88922119140625,35.040000915527344,19.17658233642578,40.20906066894531,10.958064079284668,17.6256160736084,51.555274963378906,36.53728485107422,45.93351364135742,23.96728515625,21.80270767211914,77.70555114746094,44.71882629394531
2020-04-02,151.89999389648438,232.12478637695312,40.880001068115234,19.466394424438477,40.720191955566406,11.961825370788574,18.067380905151367,52.241455078125,37.391761779785156,47.10865020751953,24.321191787719727,22.485088348388672,79.8576889038086,44.88587951660156
2020-04-03,152.64999389648438,228.7696075439453,47.20000076293945,18.998241424560547,39.89670181274414,11.834864616394043,17.706754684448242,51.5461311340332,36.81415939331055,47.47749328613281,24.115432739257812,21.681297302246094,79.13728332519531,44.10317611694336
2020-04-06,156.8800048828125,244.13519287109375,43.84000015258789,20.411630630493164,42.528079986572266,12.461723327636719,18.977962493896484,55.114295959472656,39.955196380615234,49.244503021240234,25.86030387878418,23.35584831237793,83.28656768798828,47.77328109741211
2020-04-07,156.0399932861328,244.3840789794922,40.720001220703125,20.95557975769043,42.840457916259766,12.727543830871582,19.167295455932617,54.9861946105957,39.59717559814453,48.678367614746094,25.8685359954834,23.06281280517578,82.60262298583984,48.48438262939453
2020-04-08,154.64999389648438,252.58767700195312,42.959999084472656,21.981063842773438,43.75859451293945,13.576574325561523,20.005754470825195,56.98069763183594,40.66169357299805,49.39889144897461,27.810937881469727,24.318727493286133,86.00408172607422,50.01160430908203
2020-04-09,158.69000244140625,256.431396484375,39.84000015258789,22.926294326782227,44.080413818359375,13.453581809997559,21.07861328125,57.840728759765625,40.67123794555664,49.862091064453125,29.24304962158203,25.465795516967773,86.47830963134766,50.913604736328125
2020-04-13,161.41000366210938,254.0901336669922,39.439998626708984,22.422466278076172,44.146671295166016,13.40993881225586,20.312286376953125,56.148128509521484,40.761940002441406,49.493255615234375,27.901470184326172,24.657819747924805,85.7214126586914,50.8992919921875
2020-04-14,162.67999267578125,261.5840148925781,37.279998779296875,22.712276458740234,45.45289993286133,13.346461296081543,20.402435302734375,57.21857833862305,42.47090148925781,51.59477615356445,28.831525802612305,25.382064819335938,88.56664276123047,52.88943862915039
2020-04-15,161.85000610351562,256.0258483886719,35.439998626708984,21.66895866394043,45.02695846557617,12.7196044921875,19.518905639648438,55.63578796386719,41.54481887817383,50.779903411865234,27.72039794921875,24.544788360595703,88.11068725585938,51.72970962524414
2020-04-16,161.7100067138672,257.260986328125,34.880001068115234,21.544124603271484,45.20680236816406,12.176067352294922,19.176313400268555,55.1417236328125,42.05080795288086,51.11442947387695,27.53932762145996,24.548973083496094,90.03482818603516,52.35015106201172
2020-04-17,158.57000732421875,264.2109680175781,33.68000030517578,22.409095764160156,45.822059631347656,13.469449996948242,20.186059951782227,57.73092269897461,42.60933303833008,51.8950080871582,28.428220748901367,25.34020233154297,91.90431213378906,53.896461486816406
2020-04-20,159.6999969482422,259.5560607910156,30.0,21.85622215270996,45.405574798583984,13.048904418945312,19.83445167541504,56.193878173828125,41.92669677734375,50.8742561340332,27.374717712402344,24.381519317626953,91.17474365234375,52.956268310546875
2020-04-21,158.61000061035156,251.6750946044922,22.479999542236328,21.316730499267578,43.976295471191406,12.818791389465332,19.1943416595459,54.86725616455078,40.170013427734375,49.79347229003906,26.97142219543457,23.97962760925293,88.40249633789062,51.5817756652832
2020-04-22,161.72999572753906,257.260986328125,20.079999923706055,21.73583984375,45.15947341918945,13.275043487548828,19.401700973510742,55.44364547729492,41.71666717529297,50.27381896972656,27.440567016601562,24.678749084472656,89.75213623046875,52.69377517700195
2020-04-23,163.33999633789062,257.24249267578125,21.1200008392334,21.887435913085938,45.481300354003906,13.703529357910156,19.320558547973633,55.882808685302734,41.43025207519531,49.82777404785156,27.1278018951416,24.264297485351562,90.24458312988281,52.67946243286133
2020-04-24,162.63999938964844,260.8280944824219,20.559999465942383,22.230751037597656,46.058692932128906,13.735267639160156,19.60004997253418,56.331111907958984,42.308589935302734,50.359596252441406,27.226572036743164,24.415006637573242,91.45748138427734,53.571929931640625
2020-04-27,161.55999755859375,264.58880615234375,17.520000457763672,22.823745727539062,46.437313079833984,14.032832145690918,20.267202377319336,57.73092269897461,42.671390533447266,50.50542068481445,28.016698837280273,24.67037582397461,92.63383483886719,54.57416915893555
2020-04-28,160.83999633789062,263.3721923828125,17.040000915527344,23.247318267822266,45.59488296508789,14.3541898727417,20.48357582092285,58.810523986816406,42.10332489013672,50.788475036621094,28.0413875579834,24.762479782104492,90.7643814086914,54.7889289855957
2020-04-29,161.72999572753906,270.2668762207031,18.0,23.840316772460938,47.80031967163086,15.417461395263672,21.07861328125,59.93586349487305,43.83137512207031,50.57403564453125,28.115468978881836,24.53641700744629,91.36624145507812,55.99638366699219
2020-04-30,158.8000030517578,267.75048828125,19.1200008392334,23.131397247314453,47.59208679199219,15.076262474060059,20.54668426513672,58.74647903442383,43.63566207885742,49.97359848022461,27.91793441772461,23.971256256103516,90.94676971435547,55.647987365722656
2020-05-01,159.77999877929688,260.6622619628906,18.860000610351562,22.645402908325195,46.92950439453125,14.223264694213867,19.888545989990234,56.971553802490234,42.43748474121094,49.42462921142578,27.06195640563965,23.39353370666504,89.21409606933594,53.567142486572266
2020-05-04,160.33999633789062,261.3811950683594,19.670000076293945,22.72565269470215,47.20399856567383,14.71522331237793,19.708234786987305,56.248779296875,43.00076675415039,49.39889144897461,27.045499801635742,23.56936264038086,89.16849517822266,53.858272552490234
