market_date,mean_sentiment,tweet_count
2020-06-01,-0.11301694372121025,34
2020-06-02,-0.29200428744984996,36
2020-06-03,-0.4967187580007773,26
2020-06-04,-0.3860283811809495,32
2020-06-05,-0.26920991369777103,44
2020-06-06,-0.20199547315898694,19
2020-06-07,-0.06713901762850583,16
2020-06-08,-0.2900926497732771,29
2020-06-09,-0.12634225890395187,21
2020-06-10,-0.26617015829240837,27
2020-06-11,-0.2192063605678933,28
2020-06-12,-0.3918119577070077,30
2020-06-13,-0.1847690901098152,12
2020-06-14,-0.1305151673566018,14
2020-06-15,-0.10458033713267038,38
2020-06-16,-0.20114632001654667,22
2020-06-17,-0.22024625091580674,32
2020-06-18,-0.19560082975981963,36
2020-06-19,-0.23020788682279764,27
2020-06-20,-0.08805232452085385,13
2020-06-21,-0.19208437433609596,13
2020-06-22,-0.03486748729591017,54
2020-06-23,-0.34249040234135464,32
2020-06-24,-0.06695661802465717,36
2020-06-25,-0.12509579475348195,48
2020-06-26,-0.008907340570456453,18
2020-06-27,-0.01745700610003301,14
2020-06-28,0.03327174496371299,16
2020-06-29,-0.11376337536300223,24
2020-06-30,-0.28536804346367717,8
